Country,Total cases,Total deaths,Total recovered,New cases,New deaths,Active cases,Critical cases,Total cases per 1M pop.,totalDeathsPerMillionPopulation,Gross Total cases,Gross Total deaths
USA,245373,6095,10403,496,25,228875,5421,741,18.0,245869,6120
Italy,115242,13915,18278,0,0,83049,4053,1906,230.0,115242,13915
Spain,112065,10348,26743,0,0,74974,6092,2397,221.0,112065,10348
Germany,84794,1107,22440,0,0,61247,3936,1012,13.0,84794,1107
China,81620,3322,76571,31,4,1727,379,57,2.0,81651,3326
France,59105,5387,12428,0,0,41290,6399,905,83.0,59105,5387
Iran,50468,3160,16711,0,0,30597,3956,601,38.0,50468,3160
UK,33718,2921,135,0,0,30662,163,497,43.0,33718,2921
Switzerland,18827,536,4013,0,0,14278,348,2175,62.0,18827,536
Turkey,18135,356,415,0,0,17364,1101,215,4.0,18135,356
Belgium,15348,1011,2495,0,0,11842,1144,1324,87.0,15348,1011
Netherlands,14697,1339,250,0,0,13108,1053,858,78.0,14697,1339
Canada,11283,173,1979,0,0,9131,120,299,5.0,11283,173
Austria,11129,158,1749,0,0,9222,227,1236,18.0,11129,158
S. Korea,10062,174,6021,86,5,3867,55,196,3.0,10148,179
Portugal,9034,209,68,0,0,8757,230,886,20.0,9034,209
Brazil,8066,327,127,22,3,7612,296,38,2.0,8088,330
Israel,6857,36,338,0,0,6483,108,792,4.0,6857,36
Sweden,5568,308,103,0,0,5157,429,551,30.0,5568,308
Australia,5314,28,585,0,3,4701,50,208,1.0,5314,31
Norway,5218,50,32,71,0,5136,96,963,9.0,5289,50
Czechia,3858,44,67,0,0,3747,72,360,4.0,3858,44
Ireland,3849,98,5,0,0,3746,109,779,20.0,3849,98
Russia,3548,30,235,0,0,3283,8,24,0.0,3548,30
Chile,3404,18,335,0,0,3051,31,178,1.0,3404,18
Denmark,3386,123,1089,0,0,2174,153,585,21.0,3386,123
Ecuador,3163,120,65,0,0,2978,100,179,7.0,3163,120
Malaysia,3116,50,767,0,0,2299,105,96,2.0,3116,50
Poland,2946,57,56,0,0,2833,50,78,2.0,2946,57
Romania,2738,115,267,0,0,2356,78,142,6.0,2738,115
Philippines,2633,107,51,0,0,2475,1,24,1.0,2633,107
Japan,2617,63,472,0,0,2082,60,21,0.0,2617,63
India,2567,72,192,24,0,2303,0,2,0.0,2591,72
Luxembourg,2487,30,80,0,0,2377,31,3973,48.0,2487,30
Pakistan,2421,34,125,0,0,2262,9,11,0.0,2421,34
Thailand,1978,19,581,103,4,1378,23,28,0.0,2081,23
Saudi Arabia,1885,21,328,0,0,1536,31,54,1.0,1885,21
Indonesia,1790,170,112,0,0,1508,0,7,1.0,1790,170
