Country,Total cases,New cases,Total deaths,New deaths,Total recovered,Active cases,Critical cases,Total cases per 1M pop.
Afghanistan,24,,,,1,23,,0.6
Albania,70,,2,,2,66,2,24
Algeria,94,,11,,32,51,,2
Andorra,75,,,,1,74,2,971
Angola,1,,,,,1,,0.03
Antigua and Barbuda,1,,,,,1,,10
Argentina,158,,3,,3,152,,3
Armenia,136,,,,1,135,2,46
Aruba,5,,,,1,4,,47
Australia,1051,123,7,,46,998,2,41
Austria,2649,,6,,9,2634,14,294
Azerbaijan,44,,1,,7,36,,4
Bahamas,4,,,,,4,,10
Bahrain,298,,1,,125,172,4,175
Bangladesh,20,,1,,3,16,1,0.1
Barbados,6,,,,,6,,21
Belarus,69,,,,15,54,,7
Belgium,2257,,37,,204,2016,164,195
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Bhutan,2,,,,,2,,3
Bolivia,16,,,,,16,,1
Bosnia and Herzegovina,89,,,,2,87,1,27
Brazil,970,,11,,2,957,18,5
Brunei,78,,,,1,77,2,178
Bulgaria,127,,3,,3,121,,18
Burkina Faso,40,,1,,4,35,,2
Cabo Verde,1,,,,,1,,2
Cambodia,51,,,,1,50,,3
Cameroon,27,,,,2,25,,1
Canada,1087,,12,,14,1061,1,29
CAR,3,,,,,3,,0.6
Cayman Islands,3,,1,,,2,,46
Chad,1,,,,,1,,0.06
Channel Islands,12,,,,,12,,69
Chile,434,,,,6,428,7,23
China,81008,41,3255,7,71740,6013,1927,56
Colombia,158,13,,,1,157,,3
Congo,3,,,,,3,,0.5
Costa Rica,113,,2,,2,109,2,22
Croatia,130,,1,,5,124,,32
Cuba,21,,1,,,20,,2
Curaçao,3,,1,,,2,,18
Cyprus,75,,,,,75,1,62
Czechia,833,,,,4,829,6,78
Denmark,1255,,9,,1,1245,37,217
Diamond Princess,712,,8,,567,137,15,
Djibouti,1,,,,,1,,1
Dominican Republic,72,,2,,,70,,7
DRC,18,,,,,18,,0.2
Ecuador,426,,7,,3,416,2,24
Egypt,285,,8,,42,235,,3
El Salvador,3,2,,,,3,,0.5
Equatorial Guinea,6,,,,,6,,4
Estonia,283,,,,1,282,1,213
Eswatini,1,,,,,1,,0.9
Ethiopia,9,,,,,9,,0.08
Faeroe Islands,80,,,,3,77,,1637
Fiji,2,1,,,,2,,2
Finland,450,,,,10,440,2,81
France,12612,,450,,1587,10575,1297,193
French Guiana,15,,,,,15,,50
French Polynesia,11,,,,,11,,39
Gabon,4,,1,,,3,,2
Gambia,1,,,,,1,,0.4
Georgia,47,3,,,1,46,1,12
Germany,19848,,68,,180,19600,2,237
Ghana,16,,,,,16,,0.5
Gibraltar,10,,,,2,8,,297
Greece,495,,10,,19,466,20,47
Greenland,2,,,,,2,,35
Guadeloupe,51,,1,,,50,4,127
Guam,14,,,,,14,,83
Guatemala,12,,1,,,11,,0.7
Guinea,2,,,,,2,,0.2
Guyana,15,,1,,,14,,19
Haiti,2,,,,,2,,0.2
Honduras,24,,,,,24,,2
Hong Kong,256,,4,,98,154,4,34
Hungary,85,,4,,7,74,6,9
Iceland,409,,,,5,404,1,1199
India,270,21,5,,23,242,,0.2
Indonesia,369,,32,,17,320,,1
Iran,19644,,1433,,6745,11466,,234
Iraq,208,,17,,49,142,,5
Ireland,683,,3,,5,675,6,138
Isle of Man,2,,,,,2,,24
Israel,705,,1,,15,689,10,81
Italy,47021,,4032,,5129,37860,2655,778
Ivory Coast,9,,,,1,8,,0.3
Jamaica,19,,1,,2,16,,6
Japan,1007,,35,,215,757,50,8
Jordan,85,,,,1,84,,8
Kazakhstan,52,,,,,52,,3
Kenya,7,,,,,7,,0.1
Kuwait,159,,,,22,137,5,37
Kyrgyzstan,6,,,,,6,,0.9
Latvia,111,,,,1,110,,59
Lebanon,177,,4,,4,169,3,26
Liberia,2,,,,,2,,0.4
Liechtenstein,28,,,,,28,,734
Lithuania,69,,1,,1,67,1,25
Luxembourg,484,,5,,6,473,1,773
Macao,17,,,,10,7,,26
Madagascar,3,,,,,3,,0.1
