Country,Total cases,New cases,Total deaths,New deaths,Total recovered,Active cases,Critical cases,Total cases per 1M pop.
China,81054,46,3261,6,72440,5353,1845,56
Italy,53578,,4825,,6072,42681,2857,886
USA,26892,2685,348,46,178,26366,708,81
Spain,25496,,1381,,2125,21990,1612,545
Germany,22364,,84,,209,22071,2,267
Iran,20610,,1556,,7635,11419,,245
France,14459,,562,,1587,12310,1525,222
S. Korea,8897,98,104,2,2909,5884,59,174
Switzerland,6863,,80,,131,6652,141,793
UK,5018,,233,,93,4692,20,74
Netherlands,3631,,136,,2,3493,354,212
Austria,3024,32,8,,9,3007,15,336
Belgium,2815,,67,,263,2485,288,243
Norway,2167,3,7,,6,2154,28,400
Sweden,1770,,20,,16,1734,71,175
Canada,1328,,19,,14,1295,1,35
Denmark,1326,,13,,1,1312,42,229
Australia,1286,214,7,,46,1233,2,50
Portugal,1280,,12,,5,1263,26,126
Malaysia,1183,,9,1,114,1060,26,37
Brazil,1178,,18,,2,1158,18,6
Japan,1054,,36,,215,803,55,8
Czechia,995,,,,6,989,7,93
Turkey,947,,21,,,926,,11
Israel,883,,1,,36,846,15,102
Ireland,785,,3,,5,777,13,159
Diamond Princess,712,,8,,567,137,15,
Luxembourg,670,,8,,6,656,3,1070
Pakistan,645,,3,,13,629,,3
Thailand,599,188,1,,44,554,7,9
Chile,537,,1,,8,528,7,28
Poland,536,,5,,13,518,3,14
Ecuador,532,,7,,3,522,2,30
Greece,530,,13,,19,498,18,51
Finland,523,,1,,10,512,2,94
Qatar,481,,,,27,454,6,167
Iceland,473,,1,,5,467,1,1386
Indonesia,450,,38,,20,392,,2
Singapore,432,,2,,140,290,14,74
Saudi Arabia,392,,,,16,376,,11
Slovenia,383,,1,,,382,12,184
Philippines,380,73,25,6,15,340,1,3
Romania,367,,,,52,315,14,19
India,332,,5,,24,303,,0.2
Peru,318,,5,,1,312,5,10
Bahrain,310,,1,,125,184,4,182
Russia,306,,1,,16,289,,2
Estonia,306,,,,2,304,,231
Egypt,294,,10,,42,242,,3
Hong Kong,274,,4,,100,170,4,37
Mexico,251,48,2,,4,245,1,2
Panama,245,,3,,1,241,7,57
South Africa,240,,,,2,238,,4
Lebanon,230,,4,,8,218,4,34
Argentina,225,67,4,,27,194,,5
Iraq,214,,17,,51,146,,5
Colombia,210,14,1,1,3,206,,4
Croatia,206,,1,,5,200,,50
Armenia,190,30,,,2,188,2,64
Serbia,188,17,1,,2,185,4,22
Slovakia,178,,,,7,171,2,33
Kuwait,176,,,,27,149,5,41
Bulgaria,163,,3,,3,157,3,23
San Marino,160,,20,,4,136,12,4715
Taiwan,153,,2,,28,123,,6
UAE,153,,2,,38,113,2,15
Algeria,139,,15,,65,59,,3
Uruguay,135,25,,,,135,2,39
Latvia,124,,,,1,123,,66
Costa Rica,117,,2,,2,113,2,23
Dominican Republic,112,,3,,,109,,10
Lithuania,105,6,1,,1,103,1,39
Hungary,103,,4,,7,92,6,11
Jordan,100,,,,1,99,,10
Morocco,96,,3,,3,90,1,3
Vietnam,94,,,,17,77,2,1
Bosnia and Herzegovina,93,,1,,2,90,1,28
Faeroe Islands,92,,,,3,89,,1883
Andorra,88,,,,1,87,2,1139
North Macedonia,85,,,,1,84,1,41
Cyprus,84,,1,,3,80,3,70
Brunei,83,,,,1,82,2,190
Moldova,80,,1,,1,78,3,20
Sri Lanka,77,,,,3,74,2,4
Albania,76,,2,,2,72,2,26
Belarus,76,,,,15,61,,8
Malta,73,,,,2,71,1,165
Venezuela,70,,,,15,55,2,2
New Zealand,66,14,,,,66,,14
Burkina Faso,64,,3,,5,56,,3
Tunisia,60,,1,,1,58,7,5
Guadeloupe,56,,1,,,55,4,140
Senegal,56,,,,5,51,,3
Georgia,54,5,,,1,53,1,14
Kazakhstan,54,,,,,54,,3
Azerbaijan,53,,1,,11,41,,5
Cambodia,53,,,,2,51,,3
Palestine,53,,,,17,36,,10
Oman,52,,,,13,39,,10
Trinidad and Tobago,49,,,,,49,,35
Ukraine,47,,3,,1,43,,1
Réunion,47,,,,,47,,52
Uzbekistan,42,1,,,,42,,1
Cameroon,40,,,,2,38,,2
Martinique,37,,1,,,36,7,99
Liechtenstein,37,,,,,37,,970
Channel Islands,32,,,,,32,,184
Honduras,26,2,,,,26,,3
Bangladesh,24,,2,,3,19,,0.1
Afghanistan,24,,,,1,23,,0.6
DRC,23,,1,,,22,,0.3
Paraguay,22,,1,,,21,1,3
Nigeria,22,,,,1,21,,0.1
Cuba,21,,1,,,20,,2
Ghana,21,,1,,,20,,0.7
Puerto Rico,21,,1,,,20,,7
Jamaica,19,,1,,2,16,,6
Macao,19,,,,10,9,,29
Bolivia,19,,,,,19,,2
Guyana,18,,1,,,17,,23
Monaco,18,,,,1,17,,459
French Guiana,18,,,,,18,,60
Guatemala,17,,1,,,16,,0.9
Rwanda,17,,,,,17,,1
Montenegro,16,,,,,16,,25
Togo,16,,,,,16,,2
French Polynesia,15,,,,,15,,53
Guam,15,,,,,15,,89
Mauritius,14,,1,,,13,,11
Barbados,14,,,,,14,,49
Ivory Coast,14,,,,1,13,,0.5
Kyrgyzstan,14,,,,,14,,2
Maldives,13,,,,3,10,,24
Mayotte,11,,,,,11,,40
Gibraltar,10,,,,2,8,,297
Mongolia,10,,,,,10,,3
Ethiopia,9,,,,,9,,0.08
Aruba,8,3,,,1,7,,75
Kenya,7,,,,,7,,0.1
Seychelles,7,,,,,7,,71
Equatorial Guinea,6,,,,,6,,4
Tanzania,6,,,,,6,,0.1
U.S. Virgin Islands,6,,,,,6,,57
Gabon,5,,1,,,4,,2
Saint Martin,5,,,,,5,,129
Suriname,5,,,,,5,,9
Bahamas,4,,,,,4,,10
New Caledonia,4,,,,,4,,14
Eswatini,4,3,,,,4,,3
Cayman Islands,3,,1,,,2,,46
Curaçao,3,,1,,,2,,18
Cabo Verde,3,,,,,3,,5
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
El Salvador,3,,,,,3,,0.5
Liberia,3,,,,,3,,0.6
Madagascar,3,,,,,3,,0.1
Namibia,3,,,,,3,,1
St. Barth,3,,,,,3,,304
Zimbabwe,3,,,,,3,,0.2
Sudan,2,,1,,,1,,0.05
Angola,2,,,,,2,,0.06
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Bhutan,2,,,,,2,,3
Fiji,2,,,,,2,,2
Greenland,2,,,,,2,,35
Guinea,2,,,,,2,,0.2
Haiti,2,,,,,2,,0.2
Isle of Man,2,,,,,2,,24
Mauritania,2,,,,,2,,0.4
Nicaragua,2,,,,,2,,0.3
Saint Lucia,2,,,,,2,,11
Zambia,2,,,,,2,,0.1
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1
Eritrea,1,,,,,1,,0.3
Gambia,1,,,,,1,,0.4
Vatican City,1,,,,,1,,1248
Montserrat,1,,,,,1,,200
Niger,1,,,,,1,,0.04
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Timor-Leste,1,,,,,1,,0.8
Uganda,1,,,,,1,,0.02
Total:,308564,3574,13069,62,95829,199666,9943,39.6
